# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
"Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,104,112,99,125,46,55,0,0,0,0,248,292
HHS and American Urological Association Announce Landmark Collaboration to Advance Women’s Health | HHS.gov,/press-room/aua-collaboration-to-advance-womens-health.html,188,347,41,50,15,19,0,0,0,0,242,416
HHS Announces Five New Agency Leaders to Advance MAHA Goals | HHS.gov,/press-room/hhs-five-new-agency-leaders-maha.html,87,95,134,149,22,35,0,0,0,0,243,279
NIH Proposes Embryonic Stem Cell Research Shift to Put Patients First | HHS.gov,/press-room/nih-proposes-embryonic-stem-cell-research-shift-put-patients-first.html,190,285,53,78,0,0,0,0,0,0,243,363
Renowned Epidemiologist and Biostatistician Martin Kulldorff Appointed to Senior HHS Role | HHS.gov,/press-room/renowned-epidemiologist-and-biostatistician-martin-kulldorff-appointed-to-senior-hhs-role.html,84,104,150,183,7,8,0,0,0,0,241,295
ACIP Recommends Individual-Based Decision-Making for Hepatitis B Vaccine for Infants Born to Women Who Test Negative for the Virus | HHS.gov,/press-room/acip-recommends-individual-based-decision-making-hepatitis-b-vaccine-birth-dose-infants-born-women-test-negative-virus.html,121,136,119,134,0,0,0,0,0,0,240,270
"WTAS: Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During Take Back Your Health Tour in Miami | HHS.gov",/press-room/wtas-sec-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-miami.html,201,368,32,38,7,13,0,0,0,0,240,419
HHS Adds Former U.S. Attorney for Fraud Efforts | HHS.gov,/press-room/hhs-adds-former-us-attorney-fraud-efforts.html,178,257,61,78,0,0,0,0,0,0,239,335
HHS’ Office for Civil Rights Investigates Thirteen States Under Federal Conscience Law | HHS.gov,/press-room/hhs-ocr-investigates-thirteen-state-abortion-coverage-mandates-under-federal-conscience-law.html,106,115,97,132,34,48,0,0,0,0,231,295
WTAS: Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/wtas-secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,87,97,123,144,0,0,27,28,0,0,237,269
"WTAS: Kennedy, Rollins Unveil Historic Reset of U.S. Nutrition Policy, Put Real Food Back at Center of Health | HHS.gov",/press-room/wtas-historic-reset-federal-nutrition-policy.html,209,268,20,22,6,9,0,0,0,0,235,299
HHS Announces Request for Information to Harness Artificial Intelligence to Deflate Health Care Costs and Make America Healthy Again | HHS.gov,/press-room/hhs-ai-rfi.html,124,153,93,111,16,17,0,0,0,0,231,281
"Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/secretary-kennedy-take-back-your-health-tour-pa.html,178,248,55,68,0,0,0,0,0,0,233,316
Administration for Community Living Grant Award and Funding Opportunity | HHS.gov,/press-room/hhs-acl-grant-funding-older-americans-act.html,95,95,113,125,20,26,0,0,0,0,232,253
HHS Leaders Commend the American Society of Plastic Surgeons for Disavowing Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/asps-gender-dysphoria-statement.html,183,287,46,48,0,0,0,0,0,0,229,335
Secretary Kennedy Appoints Two OB-GYNs to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-ob-gyns-cdc-advisory-committee-immunization-practices.html,176,243,51,59,0,0,0,0,0,0,227,302
FDA Moves to Accelerate Biosimilar Development and Lower Drug Costs | HHS.gov,/press-room/fda-accelerates-biosimilar-development-and-lowers-drug-costs.html,147,164,63,84,15,23,0,0,0,0,224,271
"WTAS: Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/wtas-take-back-your-health-tour.html,202,276,13,14,10,13,0,0,0,0,224,303
"FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/fda-takes-new-approach-no-artificial-colors-claims.html,173,290,44,54,0,0,0,0,0,0,217,344
"HHS and HUD Commit to “Make Petersburg Healthy Again” by Expanding Access to Medical Care, Nutritious Foods, and Healthy Homes in the Historically Underserved City | HHS.gov",/press-room/hhs-hud-commit-make-petersburg-healthy.html,176,233,40,51,0,0,0,0,0,0,216,284
"FDA Launches Assessment of BHA, a Common Food Chemical Preservative | HHS.gov",/press-room/fda-launches-assessment-bha-common-food-chemical-preservative.html,180,305,35,36,0,0,0,0,0,0,215,341
Americans to Gain New Access to Real-Time Prescription Drug Price Information | HHS.gov,/press-room/hhs-prescription-drug-price-transparency-rule.html,95,113,76,102,43,56,0,0,0,0,214,271
Jim O’Neill Sworn in as Deputy Secretary of Health and Human Services | HHS.gov,/press-room/jim-oneill-sworn-in-as-deputy-secretary.html,106,114,101,113,6,7,0,0,0,0,213,234
WTAS: Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/wtas-secretary-kennedy-announces-100-million-investment-great-american-recovery.html,174,285,30,38,9,11,0,0,0,0,213,334
"HHS, FDA to Require Full Safety Disclosures in Drug Ads | HHS.gov",/press-room/hhs-fda-drug-ad-transparency.html,99,113,104,136,8,10,0,0,0,0,208,259
"WTAS: FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/wtas-fda-no-artificial-colors-claims.html,177,298,32,44,0,0,0,0,0,0,209,342
WTAS: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/wtas-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,191,343,16,21,0,0,0,0,0,0,207,364
Secretary Kennedy Champions Dietary Guidelines During Austin Stop on ‘Take Back Your Health’ Tour | HHS.gov,/press-room/secretary-kennedy-champions-dietary-guidelines-austin-take-back-your-health-tour.html,171,313,35,43,0,0,0,0,0,0,206,356
"NIH Opens East Palestine, Ohio Health Research Office to Study Train Disaster | HHS.gov",/press-room/nih-opens-east-palestine-ohio-health-research-office-study-train-disaster.html,177,285,27,31,0,0,0,0,0,0,204,316
CDC Adopts Individual-Based Decision-Making for Hepatitis B Immunization for Infants Born to Women Who Test Negative for the Hepatitis B Virus | HHS.gov,/press-room/cdc-adopts-individual-based-decision-making-for-hepatitis-b-immunization-for-infants-born-to-women-who-test-negative-for-the-hepatitis-b-virus.html,98,112,74,90,9,9,9,10,0,0,197,231
FDA Takes Steps to Improve Gluten Ingredient Disclosure in Foods | HHS.gov,/press-room/fda-takes-steps-improve-gluten-ingredient-disclosure-in-foods.html,172,245,25,28,0,0,0,0,0,0,197,273
"HHS, FDA and USDA Address the Health Risks of Ultra-Processed Foods | HHS.gov",/press-room/hhs-fda-usda-ultra-processed-foods-definition-rfi.html,107,119,75,90,14,20,0,0,0,0,194,229
Indian Health Service to End Use of Mercury-Containing Dental Amalgam by 2027 | HHS.gov,/press-room/ihs-to-end-use-of-mercury-containing-dental-amalgam-by-2027.html,184,314,12,14,0,0,0,0,0,0,196,328
HHS Launches “MAHA in Action” Tracker as Public Health Wins Sweep the Nation | HHS.gov,/press-room/hhs-launches-maha-in-action-tracker.html,88,98,97,124,8,15,0,0,0,0,190,237
CDC Surpasses 1 Million Voluntary Air Travel Participants in Biosurveillance Program | HHS.gov,/press-room/cdc-surpasses-1-million-voluntary-air-travel-participants-biosurveillance-program.html,173,271,19,21,0,0,0,0,0,0,192,292
"HHS, FDA Announce Operation Stork Speed to Expand Options for Safe, Reliable, and Nutritious Infant Formula for American Families | HHS.gov",/press-room/operation-stork-speed.html,57,67,84,111,28,29,21,22,0,0,188,229
"Secretary Kennedy Celebrates Tennessee's MAHA Wins, Headlines CattleCon on ‘Take Back Your Health’ Tour | HHS.gov",/press-room/sec-kennedy-celebrates-tennessee-maha-wins.html,174,293,14,18,0,0,0,0,0,0,188,311
"HHS, ED, and GSA Announce Additional Measures to End Anti-Semitic Harassment on College Campuses | HHS.gov",/press-room/ending-anti-semitic-harassment-on-college-campuses.html,104,111,44,49,35,38,0,0,0,0,183,198
HHS Takes Action on President Trump’s Executive Orders Defending Women and Children | HHS.gov,/press-room/eo-defending-women-and-children.html,74,107,95,146,13,13,0,0,0,0,181,266
Medicaid Technology Companies Pledge $600M in Savings to Support Community Engagement and Related State Medicaid System Improvements | HHS.gov,/press-room/medicaid-technology-companies-pledge-600m-savings-support-community-engagement-related-state.html,172,271,10,11,0,0,0,0,0,0,182,282
"HHS, Education Refer Minnesota to DOJ for Allowing Males in Girls’ Sports | HHS.gov",/press-room/hhs-education-refer-minnesota-to-doj-for-allowing-males-in-girls-sports.html,171,261,10,10,0,0,0,0,0,0,181,271
"HHS, NIH Launch Next-Generation Universal Vaccine Platform for Pandemic-Prone Viruses | HHS.gov",/press-room/hhs-nih-announces-generation-gold-standard.html,107,108,48,71,16,22,9,9,0,0,179,210
DOJ-HHS False Claims Act Working Group | HHS.gov,/press-room/hhs-doj-false-claims-act-working-group.html,109,136,59,75,11,17,0,0,0,0,177,228
CDC’s Advisory Committee on Immunization Practices to Meet September 18-19 | HHS.gov,/press-room/cdc-acip-meeting-september-18-19-2025.html,168,177,10,10,0,0,0,0,0,0,178,187
HHS’ Office for Civil Rights Secures Provider Compliance with Disability Rights Laws | HHS.gov,/press-room/ocr-secures-compliance-with-disability-rights-laws.html,86,89,79,98,11,12,0,0,0,0,176,199
"Secretaries Kennedy, McMahon Demand Comprehensive Nutrition Education Reforms | HHS.gov",/press-room/hhs-education-nutrition-medical-training-reforms.html,91,107,66,90,13,28,0,0,0,0,166,225
Secretary Kennedy Celebrates More States Removing Junk Food from SNAP at MAHA Monday on the National Mall | HHS.gov,/press-room/maha-monday-snap-waivers.html,100,121,62,86,7,13,0,0,0,0,167,220
WTAS: HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/wtas-hhs-close-biden-era-loophole-let-states-pay-child-care-providers-without-counting-attendance.html,168,218,0,0,1,9,0,0,0,0,169,227
CMS Finds 2.8 Million Americans Potentially Enrolled in Two or More Medicaid/ACA Exchange Plans | HHS.gov,/press-room/cms-doge-identify-wasteful-duplicate-medicaid-enrollments.html,83,94,71,102,8,9,0,0,0,0,162,205
HHS Provides More Than $1.5 Billion in State and Tribal Opioid Response Grants | HHS.gov,/press-room/hhs-state-tribal-opioid-response-grants-2025.html,86,97,57,65,16,26,0,0,0,0,157,188
"RFK Jr.: I’m fighting chronic disease, slashing unhealthy fat at HHS | HHS.gov",/press-room/ny-post-kennedy-op-ed-slashing-unhealthy-fat-hhs.html,30,39,128,139,0,0,0,0,0,0,158,178
WTAS: HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children | HHS.gov,/press-room/wtas-hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,81,94,68,85,6,8,0,0,0,0,153,187
Secretary Kennedy to World Health Assembly: The United States Is Holding the World Health Organization (WHO) Accountable | HHS.gov,/press-room/us-withdrawal-from-who.html,86,95,68,82,0,0,0,0,0,0,154,177
CMS Announces New Drug Payment Model to Strengthen Medicaid and Better Serve Vulnerable Americans | HHS.gov,/press-room/cms-announces-new-drug-payment-model-to-better-serve-vulnerable-americans.html,84,93,67,79,0,0,0,0,0,0,151,172
Joint Statement with Argentina Health Minister | HHS.gov,/press-room/us-argentina-withdraw-who.html,93,100,57,71,0,0,0,0,0,0,150,171
Secretary Kennedy Swears in Susan Monarez as CDC Director to Advance ‘Make America Healthy Again’ Agenda | HHS.gov,/press-room/secretary-kennedy-swears-in-susan-monarez-cdc-director.html,89,97,60,66,0,0,0,0,0,0,149,163
CMS Expands Access to Lifesaving Gene Therapies Through Innovative State Agreements | HHS.gov,/press-room/cms-announces-participation-in-cell-and-gene-therapy-access-model.html,91,105,55,82,0,0,0,0,0,0,145,187
HHS Backs AI Innovation for America’s Caregivers | HHS.gov,/press-room/hhs-backs-ai-innovation-for-americas-caregivers.html,91,100,40,50,15,18,0,0,0,0,145,168
FACT SHEET: Bringing Lower-Cost Biosimilar Drugs to American Patients | HHS.gov,/press-room/fact-sheet-bringing-lower-cost-biosimilar-drugs-to-american-patients.html,53,60,71,105,20,28,0,0,0,0,143,193
HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/conscience-dlc.html,71,71,63,82,10,13,0,0,0,0,141,166
"Living HHS Open Data Plan Published, HealthData.gov Refreshed to Provide Greater Transparency, Encourage Innovation, and Eliminate Information Silos | HHS.gov",/press-room/living-open-data-plan-healthdatagov-launch.html,95,118,37,51,12,22,0,0,0,0,142,191
ACIP Recommends Standalone Chickenpox Vaccination in Toddlers | HHS.gov,/press-room/acip-recommends-chickenpox-vaccine-for-toddlers.html,87,98,45,51,10,11,0,0,0,0,140,160
Dr. Harvey Risch Appointed Chairman of President Trump’s Cancer Panel | HHS.gov,/press-room/dr-harvey-risch-appointed-chairman-president-trumps-cancer-panel.html,80,92,62,71,0,0,0,0,0,0,142,163
HHS and USDA Confirm Singular Traveler-Associated New World Screwworm Case; Precautionary and Proactive Surveillance Ongoing | HHS.gov,/press-room/hhs-cdc-usda-traveler-associated-screwworm-case-surveillance.html,119,129,13,17,0,0,0,0,8,8,140,154
Secretary Kennedy Renews Public Health Emergency Declaration to Address National Opioid Crisis | HHS.gov,/press-room/secretary-kennedy-opiod-crisis-emergency-declaration.html,37,42,87,116,16,19,0,0,0,0,133,177
HHS Dispatches More Than 70 Public Health Service Officers to Strengthen Care in Tribal Communities | HHS.gov,/press-room/hhs-dispatches-70-public-health-officers-tribal-communities.html,83,94,55,68,0,0,0,0,0,0,138,162
"NIH, CMS Partner to Advance Understanding of Autism Through Secure Access to Select Medicare and Medicaid Data | HHS.gov",/press-room/nih-cms-partner-to-research-root-causes-of-autism.html,84,84,38,41,11,14,0,0,0,0,133,139
"Statement from Dr. Dorothy Fink, Acting Secretary of the U.S. Department of Health and Human Services | HHS.gov",/press-room/dr-fink-statement.html,96,98,37,46,0,0,0,0,0,0,133,144
"HHS, CMS Eliminate Financial Pressure Tied to Hospital Staff Vaccination Reporting | HHS.gov",/press-room/hhs-cms-end-vaccine-reporting-incentives.html,88,97,41,54,0,0,0,0,0,0,129,151
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Top of the World Ranch Treatment Center | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-twrtc.html,80,94,36,42,13,15,0,0,0,0,127,151
HHS Announces $100M in Pilot Funding Opportunity to Eliminate Hepatitis C | HHS.gov,/press-room/hhs-100m-hepatitis-c-elimination-funding-opportunity.html,88,102,39,44,0,0,0,0,0,0,127,146
CMS Empowers Patients and Boosts Transparency by Modernizing Hospital Payments | HHS.gov,/press-room/cms-empowers-patients-and-boosts-transparency-by-modernizing-hospital-payments.html,78,97,41,48,0,0,0,0,0,0,125,153
"HHS’ Office for Civil Rights Settles HIPAA Right of Access Investigation with Concentra, Inc. | HHS.gov",/press-room/ocr-settles-with-concentra.html,52,57,54,70,13,15,0,0,0,0,121,149
ARPA-H Launches Program to Restore Brain Function and Return Patients to Independence | HHS.gov,/press-room/arpa-h-launches-program-to-restore-brain-function-patient-independence.html,84,91,38,92,0,0,0,0,0,0,122,183
Page Not Found | HHS.gov,/press-room/hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,69,86,17,30,35,46,0,0,0,0,118,162
SAMHSA Awards More Than $45 Million in Supplemental Funding to Support Young Adult Sober Housing Services | HHS.gov,/press-room/samhsa-awards-45-million-funding-support-sober-housing-services.html,74,86,18,21,29,33,0,0,0,0,121,140
HHS Defunds California’s Attempt to Indoctrinate Children with Gender Ideology | HHS.gov,/press-room/hhs-defunds-californias-attempt-indoctrinate-children-gender-ideology.html,75,89,38,56,6,9,0,0,0,0,119,154
FDA Begins Action to Remove Ingestible Fluoride Prescription Drug Products for Children from the Market | HHS.gov,/press-room/fda-to-remove-ingestible-fluoride-drug-products-for-children.html,75,87,39,44,0,0,0,0,0,0,114,131
Administration for Community Living Awards $60 Million to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/administration-community-living-awards-60-million-dollars-advance-maha-agenda.html,80,89,31,35,0,0,0,0,0,0,111,124
"HHS, FDA Issue RFI on Deregulatory Plan to Lower Costs and Empower Providers | HHS.gov",/press-room/fda-10-to-1-deregulatory-plan-to-lower-costs-empower-patients.html,85,90,26,31,0,0,0,0,0,0,111,121
"HHS, CDC Announce New ACIP Members | HHS.gov",/press-room/hhs-cdc-announce-new-acip-members-sept-2025.html,81,90,29,34,0,0,0,0,0,0,110,124
HHS’ Civil Rights Office Takes Action to Support President Trump’s Executive Orders to Protect Minors and Restore Biological Truth | HHS.gov,/press-room/eo-restoring-biological-truth.html,44,48,43,53,23,25,0,0,0,0,108,126
HHS Expands Oversight of Organ Transplant System with New Surveillance Tool | HHS.gov,/press-room/hrsa-organ-allocation-dashboard.html,76,85,33,41,0,0,0,0,0,0,109,126
"Secretary Kennedy, Governor Abbott Celebrate Landmark Reforms to Make Texas Healthy Again | HHS.gov",/press-room/secretary-kennedy-maha-tour-austin-tx.html,81,89,27,32,0,0,0,0,0,0,108,121
"HHS Celebrates 60 Years of the Head Start Program Transforming the Lives of Children Furthest from Opportunity, and Empowering Families Through Education, Health, and Training | HHS.gov",/press-room/head-start-60th-anniversay.html,70,77,35,47,0,0,0,0,0,0,105,124
FDA Awards First-Ever National Priority Vouchers to Nine Sponsors | HHS.gov,/press-room/fda-awards-first-ever-national-priority-vouchers-nine-sponsors.html,73,81,24,28,6,8,0,0,0,0,103,117
All 50 States Seek to Transform Rural Health with CMS | HHS.gov,/press-room/all-50-states-seek-transform-rural-health-cms.html,74,82,28,30,0,0,0,0,0,0,102,112
Indian Health Service Joint Venture Construction Program Selects New Projects | HHS.gov,/press-room/ihs-joint-venture-construction.html,90,101,9,14,2,8,0,0,0,0,101,123
HHS Creates Fellowship and Career Fairs for Historically Black Colleges and Universities | HHS.gov,/press-room/hhs-creates-fellowship-career-fairs-hbcu.html,82,92,18,23,0,0,0,0,0,0,100,115
FDA Approves Three Food Colors from Natural Sources | HHS.gov,/press-room/fda-approves-three-new-natural-food-color-additives.html,77,77,22,26,0,0,0,0,0,0,99,103
HHS Expands MAHA to Head Start Adding $61.9 Million to Nutrition Services for Children and Families | HHS.gov,/press-room/hhs-maha-headstart-nutrition-funding-2025.html,75,91,24,33,0,0,0,0,0,0,99,124
Joint Statement on the Preeminence of the U.S. Government Regulating Health Risks for Americans | HHS.gov,/press-room/joint-statement-on-preeminence-of-us-government-regulating-health-risks-for-americans.html,52,69,34,46,13,24,0,0,0,0,99,139
"HHS Office for Civil Rights Settles Phishing Attack Breach with Health Care Network for $600,000 | HHS.gov",/press-room/ocr-hipaa-racap-pih.html,20,23,49,64,14,20,11,11,0,0,92,118
FDA Requires Major Changes to Opioid Pain Medication Labeling to Emphasize Risks | HHS.gov,/press-room/fda-updates-opioid-risk-labels.html,77,85,16,20,0,0,0,0,0,0,92,105
HHS Announces Paula M. Stannard as Director of the Office for Civil Rights | HHS.gov,/press-room/ocr-announces-director.html,6,8,87,102,0,0,0,0,0,0,92,110
"CMS Launches Nationwide Push to Remove Ineligible Medicaid Enrollees, Uphold Citizenship Requirements | HHS.gov",/press-room/cms-medicaid-oversight-remove-ineligible-enrollees.html,73,82,19,20,0,0,0,0,0,0,92,102
"HHS Office for Civil Rights Imposes a $1,500,000 Civil Money Penalty Against Warby Parker in HIPAA Cybersecurity Hacking Investigation | HHS.gov",/press-room/penalty-against-warby-parker.html,28,36,43,60,21,31,0,0,0,0,90,127
FDA Acts to Protect Children from Unapproved Fluoride Drug Products | HHS.gov,/press-room/fda-protect-children-unapproved-fluoride-drug-products.html,73,81,12,13,6,8,0,0,0,0,91,102
HHS Advances Fight Against Long COVID with Patient Roundtables and New National Efforts | HHS.gov,/press-room/hhs-secretary-kennedy-long-covid-roundtables-action.html,73,81,18,23,0,0,0,0,0,0,91,104
NIH to Fund Long-Term Health Studies for East Palestine After Train Disaster | HHS.gov,/press-room/nih-long-term-health-research-east-palestine-ohio-train-disaster.html,75,85,16,19,0,0,0,0,0,0,91,104
"Secretary Kennedy, Deputy Secretary O’Neill, Commissioner Makary, and U.S. Senator Mullin to Host Press Conference on Measures to Safeguard American Public from Dangerous Opioid 7-OH | HHS.gov",/press-room/hhs-opioid-7oh-press-conference-kennedy.html,77,85,13,15,0,0,0,0,0,0,90,100
HHS Applauds Dairy Industry’s Voluntary Commitment to Remove Artificial Food Dyes from Ice Cream by 2028 | HHS.gov,/press-room/hhs-applauds-dairy-industry-voluntary-commitment-food-dyes.html,78,86,11,12,0,0,0,0,0,0,89,98
HHS Celebrates 100 Days of Big Wins to Make America Healthy Again | HHS.gov,/press-room/hhs-celebrates-100-days-big-wins-maha.html,71,72,18,19,0,0,0,0,0,0,89,91
"HHS, FDA Initiate Comprehensive Review of Nutrients in Infant Formula | HHS.gov",/press-room/fda-review-infant-formula-nutrients-operation-stork-speed.html,77,86,12,12,0,0,0,0,0,0,89,98
"Joint Statement by Secretary of Health and Human Services Robert F. Kennedy, Jr. and Secretary of State Marco Rubio on International Health Regulations Amendments | HHS.gov",/press-room/secretary-kennedy-rubio-reject-ihr-amendments-joint-statement.html,77,85,12,13,0,0,0,0,0,0,89,98
"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington | HHS.gov",/press-room/anti-semitism-task-force-statement-on-university-of-washington.html,88,92,0,0,0,0,0,0,0,0,88,92
Fact Sheet: HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/fact-sheet-announcements-on-conscience-and-life.html,28,29,45,52,15,21,0,0,0,0,87,102
ACF Improves Educational Freedom and Opportunities for Families | HHS.gov,/press-room/acf-expands-education-freedom-for-families.html,69,69,18,23,0,0,0,0,0,0,87,92
SAMHSA Announces $19M in Supplemental Funding to Strengthen Housing Capacity for Homeless People with Serious Mental Illness | HHS.gov,/press-room/samhsa-announces-19m-supplemental-funding-strengthen-housing-capacity-homeless-people-serious-mental-illness.html,75,83,12,13,0,0,0,0,0,0,87,96
Joint Task Force Letter to Harvard University Concerning Notice of Violation | HHS.gov,/press-room/joint-task-force-harvard-letter-notice-of-violation.html,74,82,12,12,0,0,0,0,0,0,86,94
FDA Names Top HHS Lawyer as Chief Counsel | HHS.gov,/press-room/fda-appoints-sean-keveney-chief-counsel.html,69,77,15,15,0,0,0,0,0,0,84,92
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with a Florida Health Care Provider | HHS.gov,/press-room/hhs-ocr-hipaa-agreement-baycare.html,13,16,40,53,23,34,0,0,0,0,81,111
"FDA Advances Robust, Transparent Post-Market Chemical Review Program to Keep Food Supply Safe and Healthy | HHS.gov",/press-room/fda-review-chemicals-food-supply.html,74,82,8,10,0,0,0,0,0,0,82,92
Joint Task Force to Combat Anti-Semitism Statement on Additional Harvard Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-additional-harvard-grants.html,76,83,6,9,0,0,0,0,0,0,81,92
Longtime FDA Innovator Appointed as Director of Center for Drug Evaluation and Research | HHS.gov,/press-room/hhs-longtime-fda-innovator-appointed-director-center-drug-evaluation-research.html,72,80,10,12,0,0,0,0,0,0,82,92
"Secretary Kennedy Celebrates Bold State Action in Oklahoma, Louisiana on Latest MAHA Tour | HHS.gov",/press-room/secretary-kennedy-maha-tour-oklahoma-louisiana-legislation.html,67,75,10,11,5,8,0,0,0,0,82,94
Secretary Kennedy Visits Alaska to Highlight Tribal and Rural Health Priorities | HHS.gov,/press-room/secretary-kennedy-alaska-tribal-rural-health.html,69,77,13,16,0,0,0,0,0,0,82,93
RFK Jr.: An Apple a Day Is a Good Prescription | HHS.gov,/press-room/wsj-kennedy-op-ed-nutrition-education-requirements-in-medical-training.html,81,91,0,0,0,0,0,0,0,0,81,91
Secretary Kennedy Swears in Dr. Anthony Letai as Director of the National Cancer Institute | HHS.gov,/press-room/hhs-kennedy-swears-in-anthony-letai-director-national-cancer-institute.html,74,85,7,7,0,0,0,0,0,0,81,92
HHS Revives Task Force on Safer Childhood Vaccines | HHS.gov,/press-room/hhs-reinstates-task-force-on-safer-childhood-vaccines.html,70,78,10,13,0,0,0,0,0,0,80,91
"HHS Allows FDA Emergency Use of Animal Drugs to Combat New World Screwworm, Protect U.S. Food Supply | HHS.gov",/press-room/hhs-fda-emergency-use-animal-drugs-new-world-screwworm.html,72,80,7,10,0,0,0,0,0,0,79,90
HHS’ Office for Civil Rights Settles HIPAA Investigation of Cadia Healthcare Facilities for Disclosure of Patients’ Protected Health Information | HHS.gov,/press-room/ocr-settles-hipaa-with-cadia-healthcare-facilities.html,24,25,40,49,15,17,0,0,0,0,78,91
Task Force to Combat Anti-Semitism Statement Regarding Yale’s Actions | HHS.gov,/press-room/anti-semitism-task-force-statement-on-yale.html,69,69,10,10,0,0,0,0,0,0,79,79
Secretary Kennedy Swears in Louisiana Surgeon General Ralph Abraham as Principal Deputy Director of CDC | HHS.gov,/press-room/secretary-kennedy-swears-in-louisiana-surgeon-general-ralph-abraham-as-principal-deputy-director-of-cdc.html,71,79,5,7,0,0,0,0,0,0,76,86
Statement from the U.S. Department of Health and Human Services | HHS.gov,/press-room/hhs-secretary-kennedy-visits-cdc-after-atlanta-shooting.html,70,78,6,7,0,0,0,0,0,0,76,85
HHS Office for Civil Rights Secures Agreement with Bayhealth Medical Center to Ensure Effective Communication for Individuals with Disabilities | HHS.gov,/press-room/hhs-ocr-bmc-ec-disability-agreement.html,62,66,13,14,0,0,0,0,0,0,75,80
"HHS Secretary Robert F. Kennedy, Jr. to Visit Argentina | HHS.gov",/press-room/hhs-secretary-kennedy-argentina-global-health.html,69,76,6,7,0,0,0,0,0,0,75,83
"HHS, CBP Seize $86.5 Million Worth of Illegal E-Cigarettes in Largest-Ever Operation | HHS.gov",/press-room/hhs-fda-cbp-seize-record-4-7-million-illegal-e-cigarettes-chicago-operation.html,74,82,0,0,0,0,0,0,0,0,74,82
HHS’ Civil Rights Office Finds Harvard University in Violation of Federal Civil Rights Law | HHS.gov,/press-room/hhs-finds-harvard-in-violation.html,35,35,39,49,0,0,0,0,0,0,73,84
Secretary Kennedy Tours Colorado and Idaho to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/secretary-kennedy-maha-tour-colorado-idaho.html,74,82,0,0,0,0,0,0,0,0,74,82
"HHS Office for Civil Rights Imposes a $200,000 Penalty Against Oregon Health & Science University for Failure to Provide Timely Access to Patient Records | HHS.gov",/press-room/penalty-against-or-health-science-university.html,22,27,38,41,13,21,0,0,0,0,71,89
"HHS Proposes HTI-5 Rule to Streamline Certification Program, Further Protect Patients from Information Blocking, and Foster an Artificial Intelligence-enabled Future | HHS.gov",/press-room/hhs-proposes-hti-5-rule.html,73,82,0,0,0,0,0,0,0,0,73,82
