# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
"ARPA-H launches groundbreaking, $144 million program to combat toxic microplastics in the human body | HHS.gov",/press-room/arpa-h-launches-groundbreaking-144-million-program-combat-toxic-microplastics-human-body.html,636,920,493,715,117,189,36,51,24,30,1309,1925
HHS Launches Phase 1 of the Cultivating Connected Communities Challenge | HHS.gov,/press-room/hhs-launches-phase-1-of-the-cultivating-connected-communities-challenge.html,868,994,257,306,105,124,66,72,6,8,1303,1515
WTAS: FDA Approves First-Ever Gene Therapy for Treatment of Genetic Hearing Loss Under National Priority Voucher Program | HHS.gov,/press-room/wtas-fda-approves-first-ever-gene-therapy-treatment-genetic-hearing-loss-under-national-priority-voucher-program.html,942,1166,220,256,55,71,28,30,0,0,1282,1578
United States Completes WHO Withdrawal | HHS.gov,/press-room/united-states-completes-who-withdrawal.html,415,501,738,864,40,62,76,80,0,0,1279,1521
"Secretary Kennedy Brings ‘Take Back Your Health’ Tour to California, Highlights Microbiome Research and Addiction Recovery | HHS.gov",/press-room/secretary-kennedy-take-back-your-health-tour-ca.html,802,914,323,398,71,86,43,50,0,0,1233,1448
HHS & DEA Extend Telemedicine Flexibilities for Prescribing Controlled Medications Through 2026 | HHS.gov,/press-room/dea-telemedicine-extension-2026.html,367,490,660,816,121,165,13,13,25,29,1212,1550
"Secretary Kennedy Celebrates Landmark Iowa MAHA Legislation, Announces First-Ever Surgeon General Warning on Excessive Screen Time | HHS.gov",/press-room/iowa-maha-bill-screen-time-advisory-warning.html,713,832,396,449,64,77,25,31,9,9,1206,1398
Page Not Found | HHS.gov,/press-room/fact-sheet-cdc-childhood-immunization-recommendations.html,827,991,96,132,225,284,20,23,0,0,1180,1453
"‘Autism Epidemic Runs Rampant,’ New Data Shows 1 in 31 Children Afflicted | HHS.gov",/press-room/autism-epidemic-runs-rampant-new-data-shows-grants.html,298,342,811,990,56,68,20,24,0,0,1175,1424
HHS’ Office for Civil Rights Settles Four HIPAA Security Rule Ransomware Investigations | HHS.gov,/press-room/ocr-settles-four-ransomware-investigations.html,442,512,441,626,155,222,23,32,24,25,1063,1435
Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/secretary-kennedy-announces-100-million-investment-great-american-recovery.html,362,506,553,755,140,197,30,30,0,0,1087,1501
HHS Welcomes 10 New States into CCBHC Medicaid Demonstration Program | HHS.gov,/press-room/hhs-welcomes-10-new-states-into-ccbhc-medicaid-demonstration-program.html,574,643,285,392,141,175,0,0,81,92,1072,1302
Secretary Kennedy Appoints Casey B. Mulligan as HHS Chief Economist and Regulatory Officer | HHS.gov,/press-room/hhs-appoints-casey-b-mulligan-phd-as-chief-economist-and-chief-regulatory-officer.html,647,856,266,347,12,14,102,108,0,0,1025,1325
MAHA Commission Unveils Sweeping Strategy to Make Our Children Healthy Again | HHS.gov,/press-room/maha-commission-report-childhood-disease-strategy.html,212,248,699,858,97,128,0,0,0,0,1004,1243
HHS Freezes Child Care and Family Assistance Grants in Five States for Fraud Concerns | HHS.gov,/press-room/hhs-freezes-child-care-family-assistance-grants-five-states-fraud-concerns.html,270,343,677,824,47,70,0,0,0,0,993,1244
CMS Announces $50 Billion in Awards to Strengthen Rural Health in All 50 States | HHS.gov,/press-room/cms-announces-50-billion-in-awards-to-strengthen-rural-health-in-all-50-states.html,287,382,550,702,64,87,7,8,47,51,972,1261
HRSA Announces More Than $135 Million to Expand Nutrition Services and Strengthen Rural Health Workforce | HHS.gov,/press-room/hrsa-announces-more-than-dollar-135-million-expand-nutrition-services-strengthen-rural-health-workforce.html,432,653,382,500,74,113,26,54,0,0,912,1329
HHS Announces Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge.html,181,334,554,676,116,139,0,0,0,0,850,1174
HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/hhs-releases-peer-reviewed-report-discrediting-pediatric-sex-rejecting-procedures.html,193,236,553,710,74,90,29,36,0,0,856,1087
HHS Winds Down mRNA Vaccine Development Under BARDA | HHS.gov,/press-room/hhs-winds-down-mrna-development-under-barda.html,259,306,383,549,95,138,46,49,5,7,776,1056
HHS Announces $4 Million KidneyX EMPOWER Prize Challenge and Health Technology Project to Advance Living Kidney Donation and Patient-Centered Innovation | HHS.gov,/press-room/hhs-announces-kidneyx-empower-prize-challenge.html,561,771,126,181,91,98,0,0,0,0,773,1050
Page Not Found | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,319,374,139,202,112,136,191,204,0,0,768,926
CDC Immunization Schedule Adopts Individual-Based Decision-Making for COVID-19 and Standalone Vaccination for Chickenpox in Toddlers | HHS.gov,/press-room/cdc-immunization-schedule-individual-decision-covid19-standalone-chickenpox-toddlers.html,651,720,95,105,20,20,0,0,0,0,763,845
HHS Clears Path for Lower-Cost Prescription Drugs Through Direct-to-Consumer Programs | HHS.gov,/press-room/oig-clears-path-for-lower-cost-prescription-drugs.html,266,376,413,511,35,65,0,0,0,0,710,952
