# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
Secretary Kennedy Enhances Management Team to Accelerate President Trump’s Priorities and MAHA Agenda | HHS.gov,/press-room/secretary-kennedy-enhances-management-team-accelerate-president-trumps-priorities-maha-agenda.html,181,623,59,64,0,0,0,0,0,0,240,687
WTAS: HHS Bars Research Using Human Fetal Tissue from Elective Abortions and Other Departmental Actions | HHS.gov,/press-room/wtas-hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,172,172,62,70,0,0,2,7,0,0,236,249
"HHS, ED, and GSA Announce Additional Measures to End Anti-Semitic Harassment on College Campuses | HHS.gov",/press-room/ending-anti-semitic-harassment-on-college-campuses.html,162,171,41,47,0,0,28,30,0,0,231,248
HHS Bars Research Using Human Fetal Tissue from Elective Abortions | HHS.gov,/press-room/hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,181,182,48,58,0,0,0,0,0,0,229,240
"Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,120,132,69,81,0,0,38,46,0,0,226,259
RFK Jr.: We’re Restoring Public Trust in the CDC | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-cdc.html,115,122,96,116,0,0,13,22,0,0,223,260
SAMHSA Announces $231M Funding Opportunity to Administer 988 Lifeline | HHS.gov,/press-room/samhsa-announces-231m-funding-opportunity-administer-988-lifeline.html,186,189,38,41,0,0,0,0,0,0,224,230
HHS Protects Parents’ Rights in Children’s Health Decisions | HHS.gov,/press-room/hhs-protects-parents-rights-in-childrens-health-decisions.html,97,103,110,133,0,0,13,15,0,0,218,251
"HHS, FDA to Phase Out Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-fda-food-dyes-food.html,118,131,68,78,0,0,28,32,0,0,218,252
WTAS: FDA Approves Drug to Treat Neurologic Manifestations of Hunter Syndrome | HHS.gov,/press-room/wtas-fda-approves-drug-treat-neurologic-manifestations-hunter-syndrome.html,189,636,30,29,0,0,0,0,0,0,219,665
"HHS and HUD Commit to “Make Petersburg Healthy Again” by Expanding Access to Medical Care, Nutritious Foods, and Healthy Homes in the Historically Underserved City | HHS.gov",/press-room/hhs-hud-commit-make-petersburg-healthy.html,190,192,25,28,0,0,0,0,0,0,215,220
HHS Leaders Commend the American Society of Plastic Surgeons for Disavowing Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/asps-gender-dysphoria-statement.html,175,624,39,46,0,0,0,0,0,0,214,670
HHS Adds Former U.S. Attorney for Fraud Efforts | HHS.gov,/press-room/hhs-adds-former-us-attorney-fraud-efforts.html,161,161,50,61,0,0,0,0,0,0,211,222
Secretary Kennedy Appoints Two Physicians to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-physicians-cdc-advisory-committee.html,187,636,21,22,0,0,3,8,0,0,211,666
NIH Proposes Embryonic Stem Cell Research Shift to Put Patients First | HHS.gov,/press-room/nih-proposes-embryonic-stem-cell-research-shift-put-patients-first.html,181,203,27,31,0,0,0,0,0,0,208,234
HHS to Close University of Miami's Failing Organ Agency | HHS.gov,/press-room/hhs-decertifies-miami-organ-agency-reforms-transplant-system.html,85,89,107,132,0,0,15,19,0,0,204,240
HHS Launches “MAHA in Action” Tracker as Public Health Wins Sweep the Nation | HHS.gov,/press-room/hhs-launches-maha-in-action-tracker.html,77,77,129,155,0,0,0,0,0,0,206,232
"WTAS: HHS, EPA Announce Historic Actions to Protect Americans from Microplastics and Safeguard Drinking Water | HHS.gov",/press-room/wtas-hhs-epa-announce-historic-actions-protect-americans-microplastics-safeguard-drinking-water.html,181,623,18,20,0,0,6,8,0,0,203,651
"Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/secretary-kennedy-take-back-your-health-tour-pa.html,172,173,32,37,0,0,0,0,0,0,204,210
"FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/fda-takes-new-approach-no-artificial-colors-claims.html,176,618,27,31,0,0,0,0,0,0,203,649
Joint Statement by Secretary of State Rubio and Secretary of Health and Human Services Kennedy on the Termination of U.S. Membership in the World Health Organization (WHO) | HHS.gov,/press-room/joint-statement-by-secretary-of-state-rubio-and-secretary-of-health-and-human-services-kennedy-on-the-termination-of-us-membership-in-the-world-health-organization-who.html,180,185,23,25,0,0,0,0,0,0,203,210
Office for Civil Rights Announces Civil Enforcement Program for Confidentiality of Substance Use Disorder Patient Records | HHS.gov,/press-room/hhs-announce-civil-enforcement-program-sud-patient-records.html,96,97,91,105,0,0,16,18,0,0,201,220
HHS Expands Access to Affordable Health Insurance | HHS.gov,/press-room/hhs-expands-access-affordable-catastrophic-health-coverage.html,143,180,45,53,0,0,14,14,0,0,202,247
"WTAS: Kennedy, Rollins Unveil Historic Reset of U.S. Nutrition Policy, Put Real Food Back at Center of Health | HHS.gov",/press-room/wtas-historic-reset-federal-nutrition-policy.html,177,177,18,20,0,0,6,10,0,0,201,207
Secretary Kennedy Appoints Two OB-GYNs to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-ob-gyns-cdc-advisory-committee-immunization-practices.html,166,169,28,34,0,0,0,0,0,0,193,203
WTAS: Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/wtas-secretary-kennedy-announces-100-million-investment-great-american-recovery.html,171,616,16,18,0,0,7,10,0,0,193,644
ACF Notifies 39 Governors That States Are Diverting Foster Youths’ Earned Social Security Survivor Benefits | HHS.gov,/press-room/states-are-diverting-earned-social-security.html,92,107,81,118,0,0,19,32,0,0,191,257
"FDA Launches Assessment of BHA, a Common Food Chemical Preservative | HHS.gov",/press-room/fda-launches-assessment-bha-common-food-chemical-preservative.html,169,627,22,29,0,0,0,0,0,0,191,656
Administration for Community Living Grant Award and Funding Opportunity | HHS.gov,/press-room/hhs-acl-grant-funding-older-americans-act.html,90,106,76,93,0,0,9,11,0,0,189,228
HHS and American Urological Association Announce Landmark Collaboration to Advance Women’s Health | HHS.gov,/press-room/aua-collaboration-to-advance-womens-health.html,172,614,18,23,0,0,0,0,0,0,190,637
"HHS, FDA to Require Full Safety Disclosures in Drug Ads | HHS.gov",/press-room/hhs-fda-drug-ad-transparency.html,101,115,78,107,0,0,10,13,0,0,185,235
"WTAS: FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/wtas-fda-no-artificial-colors-claims.html,181,621,8,13,0,0,0,0,0,0,188,634
WTAS: Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/wtas-sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,170,619,18,24,0,0,0,0,0,0,188,643
CDC Surpasses 1 Million Voluntary Air Travel Participants in Biosurveillance Program | HHS.gov,/press-room/cdc-surpasses-1-million-voluntary-air-travel-participants-biosurveillance-program.html,172,173,13,18,0,0,0,0,0,0,185,191
Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,85,91,99,128,0,0,0,0,0,0,184,219
"NIH Opens East Palestine, Ohio Health Research Office to Study Train Disaster | HHS.gov",/press-room/nih-opens-east-palestine-ohio-health-research-office-study-train-disaster.html,164,603,19,21,0,0,0,0,0,0,183,624
Indian Health Service to End Use of Mercury-Containing Dental Amalgam by 2027 | HHS.gov,/press-room/ihs-to-end-use-of-mercury-containing-dental-amalgam-by-2027.html,169,616,13,17,0,0,0,0,0,0,182,633
Secretary Kennedy Champions Dietary Guidelines During Austin Stop on ‘Take Back Your Health’ Tour | HHS.gov,/press-room/secretary-kennedy-champions-dietary-guidelines-austin-take-back-your-health-tour.html,162,604,20,27,0,0,0,0,0,0,182,631
"WTAS: Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During Take Back Your Health Tour in Miami | HHS.gov",/press-room/wtas-sec-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-miami.html,169,617,12,16,0,0,0,0,0,0,181,633
FDA Takes Steps to Improve Gluten Ingredient Disclosure in Foods | HHS.gov,/press-room/fda-takes-steps-improve-gluten-ingredient-disclosure-in-foods.html,162,169,16,17,0,0,0,0,0,0,178,186
"WTAS: Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/wtas-take-back-your-health-tour.html,162,162,15,20,0,0,0,0,0,0,177,182
HHS Makes Push to Stop Youth Vaping | HHS.gov,/press-room/hhs-youth-vaping-resource-guide-illegal-vapes.html,93,99,65,96,0,0,7,9,0,0,174,223
"Secretary Kennedy Celebrates Tennessee's MAHA Wins, Headlines CattleCon on ‘Take Back Your Health’ Tour | HHS.gov",/press-room/sec-kennedy-celebrates-tennessee-maha-wins.html,168,607,7,13,0,0,0,0,0,0,175,620
"HHS, Education Refer Minnesota to DOJ for Allowing Males in Girls’ Sports | HHS.gov",/press-room/hhs-education-refer-minnesota-to-doj-for-allowing-males-in-girls-sports.html,164,164,7,7,0,0,0,0,0,0,171,171
Medicaid Technology Companies Pledge $600M in Savings to Support Community Engagement and Related State Medicaid System Improvements | HHS.gov,/press-room/medicaid-technology-companies-pledge-600m-savings-support-community-engagement-related-state.html,166,167,0,0,0,0,0,0,0,0,166,167
HHS Provides More Than $1.5 Billion in State and Tribal Opioid Response Grants | HHS.gov,/press-room/hhs-state-tribal-opioid-response-grants-2025.html,88,91,58,67,0,0,8,12,0,0,156,184
DOJ-HHS False Claims Act Working Group | HHS.gov,/press-room/hhs-doj-false-claims-act-working-group.html,69,79,32,37,0,0,0,0,0,0,159,174
CDC’s Advisory Committee on Immunization Practices to Meet September 18-19 | HHS.gov,/press-room/cdc-acip-meeting-september-18-19-2025.html,144,144,13,16,0,0,0,0,0,0,157,160
HHS’ Office for Civil Rights Investigates Thirteen States Under Federal Conscience Law | HHS.gov,/press-room/hhs-ocr-investigates-thirteen-state-abortion-coverage-mandates-under-federal-conscience-law.html,83,97,56,77,0,0,17,21,0,0,153,195
"HHS, FDA and USDA Address the Health Risks of Ultra-Processed Foods | HHS.gov",/press-room/hhs-fda-usda-ultra-processed-foods-definition-rfi.html,87,92,48,65,0,0,13,14,0,0,152,180
SAMHSA Awards More Than $45 Million in Supplemental Funding to Support Young Adult Sober Housing Services | HHS.gov,/press-room/samhsa-awards-45-million-funding-support-sober-housing-services.html,112,120,15,20,0,0,27,30,0,0,153,170
HHS Announces Five New Agency Leaders to Advance MAHA Goals | HHS.gov,/press-room/hhs-five-new-agency-leaders-maha.html,73,73,65,68,0,0,15,15,0,0,153,156
Americans to Gain New Access to Real-Time Prescription Drug Price Information | HHS.gov,/press-room/hhs-prescription-drug-price-transparency-rule.html,77,101,49,61,0,0,26,26,0,0,151,188
CMS Finds 2.8 Million Americans Potentially Enrolled in Two or More Medicaid/ACA Exchange Plans | HHS.gov,/press-room/cms-doge-identify-wasteful-duplicate-medicaid-enrollments.html,75,77,58,65,8,10,6,7,0,0,152,168
Jim O’Neill Sworn in as Deputy Secretary of Health and Human Services | HHS.gov,/press-room/jim-oneill-sworn-in-as-deputy-secretary.html,78,80,65,76,0,0,9,9,0,0,151,165
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Top of the World Ranch Treatment Center | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-twrtc.html,95,99,40,58,0,0,11,11,0,0,149,175
WTAS: HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/wtas-hhs-close-biden-era-loophole-let-states-pay-child-care-providers-without-counting-attendance.html,146,150,0,0,0,0,1,11,0,0,147,161
"HHS Allows FDA Emergency Use of Animal Drugs to Combat New World Screwworm, Protect U.S. Food Supply | HHS.gov",/press-room/hhs-fda-emergency-use-animal-drugs-new-world-screwworm.html,100,107,46,55,0,0,0,0,0,0,146,162
"Secretaries Kennedy, McMahon Demand Comprehensive Nutrition Education Reforms | HHS.gov",/press-room/hhs-education-nutrition-medical-training-reforms.html,81,86,54,68,0,0,6,7,0,0,143,168
Secretary Kennedy Celebrates More States Removing Junk Food from SNAP at MAHA Monday on the National Mall | HHS.gov,/press-room/maha-monday-snap-waivers.html,95,97,42,46,0,0,7,8,0,0,143,151
"HHS, FDA Announce Operation Stork Speed to Expand Options for Safe, Reliable, and Nutritious Infant Formula for American Families | HHS.gov",/press-room/operation-stork-speed.html,49,53,65,74,8,8,15,17,0,0,136,152
WTAS: New Cervical Cancer Screening Guidelines | HHS.gov,/press-room/wtas-new-cervical-cancer-screening-guidelines.html,21,24,109,124,0,0,0,0,0,0,134,155
ACIP Recommends Individual-Based Decision-Making for Hepatitis B Vaccine for Infants Born to Women Who Test Negative for the Virus | HHS.gov,/press-room/acip-recommends-individual-based-decision-making-hepatitis-b-vaccine-birth-dose-infants-born-women-test-negative-virus.html,85,89,47,55,0,0,0,0,0,0,132,144
CDC Adopts Individual-Based Decision-Making for Hepatitis B Immunization for Infants Born to Women Who Test Negative for the Hepatitis B Virus | HHS.gov,/press-room/cdc-adopts-individual-based-decision-making-for-hepatitis-b-immunization-for-infants-born-to-women-who-test-negative-for-the-hepatitis-b-virus.html,80,87,52,59,0,0,0,0,0,0,132,146
CMS Expands Access to Lifesaving Gene Therapies Through Innovative State Agreements | HHS.gov,/press-room/cms-announces-participation-in-cell-and-gene-therapy-access-model.html,76,77,40,54,8,8,8,11,0,0,132,150
"HHS, FDA Issue RFI on Deregulatory Plan to Lower Costs and Empower Providers | HHS.gov",/press-room/fda-10-to-1-deregulatory-plan-to-lower-costs-empower-patients.html,106,118,14,15,0,0,8,9,0,0,128,142
ACIP Recommends Standalone Chickenpox Vaccination in Toddlers | HHS.gov,/press-room/acip-recommends-chickenpox-vaccine-for-toddlers.html,84,92,43,48,0,0,0,0,0,0,127,140
CMS Announces New Drug Payment Model to Strengthen Medicaid and Better Serve Vulnerable Americans | HHS.gov,/press-room/cms-announces-new-drug-payment-model-to-better-serve-vulnerable-americans.html,80,84,44,52,0,0,0,0,0,0,124,136
"HHS’ Office for Civil Rights Settles HIPAA Right of Access Investigation with Concentra, Inc. | HHS.gov",/press-room/ocr-settles-with-concentra.html,59,59,45,56,0,0,13,18,0,0,122,141
HHS’ Office for Civil Rights Settles HIPAA Investigation of Cadia Healthcare Facilities for Disclosure of Patients’ Protected Health Information | HHS.gov,/press-room/ocr-settles-hipaa-with-cadia-healthcare-facilities.html,40,46,44,55,0,0,24,34,0,0,116,158
FACT SHEET: Bringing Lower-Cost Biosimilar Drugs to American Patients | HHS.gov,/press-room/fact-sheet-bringing-lower-cost-biosimilar-drugs-to-american-patients.html,47,52,66,85,0,0,9,14,0,0,120,151
WTAS: HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children | HHS.gov,/press-room/wtas-hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,73,75,38,49,0,0,8,8,0,0,119,132
HHS Backs AI Innovation for America’s Caregivers | HHS.gov,/press-room/hhs-backs-ai-innovation-for-americas-caregivers.html,84,86,23,25,0,0,11,13,0,0,118,124
HHS Defunds California’s Attempt to Indoctrinate Children with Gender Ideology | HHS.gov,/press-room/hhs-defunds-californias-attempt-indoctrinate-children-gender-ideology.html,65,67,52,64,0,0,0,0,0,0,117,131
"HHS, NIH Launch Next-Generation Universal Vaccine Platform for Pandemic-Prone Viruses | HHS.gov",/press-room/hhs-nih-announces-generation-gold-standard.html,81,87,29,39,0,0,7,12,0,0,116,138
HHS Advances Fight Against Long COVID with Patient Roundtables and New National Efforts | HHS.gov,/press-room/hhs-secretary-kennedy-long-covid-roundtables-action.html,83,86,19,19,0,0,10,10,0,0,111,115
HHS & State Department: The United States Rejects Amendments to International Health Regulations | HHS.gov,/press-room/state-department-hhs-rejects-amendments-to-international-health-regulations.html,87,87,23,30,0,0,0,0,0,0,110,117
HHS Dispatches More Than 70 Public Health Service Officers to Strengthen Care in Tribal Communities | HHS.gov,/press-room/hhs-dispatches-70-public-health-officers-tribal-communities.html,65,67,38,61,0,0,7,8,0,0,110,136
HHS Takes Action on President Trump’s Executive Orders Defending Women and Children | HHS.gov,/press-room/eo-defending-women-and-children.html,35,36,62,105,0,0,8,10,0,0,110,158
Dr. Harvey Risch Appointed Chairman of President Trump’s Cancer Panel | HHS.gov,/press-room/dr-harvey-risch-appointed-chairman-president-trumps-cancer-panel.html,64,66,45,51,0,0,0,0,0,0,109,117
"HHS, CMS Eliminate Financial Pressure Tied to Hospital Staff Vaccination Reporting | HHS.gov",/press-room/hhs-cms-end-vaccine-reporting-incentives.html,70,70,32,42,7,7,0,0,0,0,109,119
"HHS Office for Civil Rights Settles Phishing Attack Breach with Health Care Network for $600,000 | HHS.gov",/press-room/ocr-hipaa-racap-pih.html,15,18,46,54,7,7,14,26,0,0,101,151
HHS Details Actions Taken to Support Americans of Faith in New Report | HHS.gov,/press-room/hhs-details-actions-taken-in-acb-report.html,69,70,36,44,0,0,0,0,0,0,105,114
HHS Revives Task Force on Safer Childhood Vaccines | HHS.gov,/press-room/hhs-reinstates-task-force-on-safer-childhood-vaccines.html,69,70,17,31,19,19,0,0,0,0,105,120
CMS Empowers Patients and Boosts Transparency by Modernizing Hospital Payments | HHS.gov,/press-room/cms-empowers-patients-and-boosts-transparency-by-modernizing-hospital-payments.html,74,79,30,41,0,0,0,0,0,0,104,120
"Living HHS Open Data Plan Published, HealthData.gov Refreshed to Provide Greater Transparency, Encourage Innovation, and Eliminate Information Silos | HHS.gov",/press-room/living-open-data-plan-healthdatagov-launch.html,72,73,20,24,0,0,9,10,0,0,101,107
"NIH, CMS Partner to Advance Understanding of Autism Through Secure Access to Select Medicare and Medicaid Data | HHS.gov",/press-room/nih-cms-partner-to-research-root-causes-of-autism.html,75,81,19,24,0,0,7,8,0,0,100,113
HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/conscience-dlc.html,60,60,33,36,0,0,6,11,0,0,99,107
"HHS, CDC Announce New ACIP Members | HHS.gov",/press-room/hhs-cdc-announce-new-acip-members-sept-2025.html,70,72,21,24,8,8,0,0,0,0,99,104
HHS Announces $100M in Pilot Funding Opportunity to Eliminate Hepatitis C | HHS.gov,/press-room/hhs-100m-hepatitis-c-elimination-funding-opportunity.html,69,71,29,37,0,0,0,0,0,0,98,108
HHS Expands Oversight of Organ Transplant System with New Surveillance Tool | HHS.gov,/press-room/hrsa-organ-allocation-dashboard.html,67,75,30,41,0,0,0,0,0,0,97,116
FDA Requires Major Changes to Opioid Pain Medication Labeling to Emphasize Risks | HHS.gov,/press-room/fda-updates-opioid-risk-labels.html,75,76,20,28,0,0,0,0,0,0,94,104
HHS Creates Fellowship and Career Fairs for Historically Black Colleges and Universities | HHS.gov,/press-room/hhs-creates-fellowship-career-fairs-hbcu.html,72,75,23,27,0,0,0,0,0,0,94,102
Secretary Kennedy Renews Public Health Emergency Declaration to Address National Opioid Crisis | HHS.gov,/press-room/secretary-kennedy-opiod-crisis-emergency-declaration.html,21,24,68,92,0,0,6,12,0,0,94,128
"Secretary Kennedy, Governor Abbott Celebrate Landmark Reforms to Make Texas Healthy Again | HHS.gov",/press-room/secretary-kennedy-maha-tour-austin-tx.html,74,74,10,12,0,0,10,11,0,0,94,97
HHS’ Office for Civil Rights Settles HIPAA Privacy and Security Rule Investigation with a Behavioral Health Provider | HHS.gov,/press-room/ocr-hipaa-racap-deer-oaks.html,56,56,23,30,0,0,7,8,0,0,90,103
Secretary Kennedy Tours Colorado and Idaho to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/secretary-kennedy-maha-tour-colorado-idaho.html,64,64,29,35,0,0,0,0,0,0,93,99
"HHS, FDA Initiate Comprehensive Review of Nutrients in Infant Formula | HHS.gov",/press-room/fda-review-infant-formula-nutrients-operation-stork-speed.html,62,62,12,12,0,0,0,0,0,0,92,92
HHS’ Office for Civil Rights Secures Provider Compliance with Disability Rights Laws | HHS.gov,/press-room/ocr-secures-compliance-with-disability-rights-laws.html,66,68,26,30,0,0,0,0,0,0,92,98
Administration for Community Living Awards $60 Million to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/administration-community-living-awards-60-million-dollars-advance-maha-agenda.html,68,68,23,24,0,0,0,0,0,0,91,92
FDA Begins Action to Remove Ingestible Fluoride Prescription Drug Products for Children from the Market | HHS.gov,/press-room/fda-to-remove-ingestible-fluoride-drug-products-for-children.html,63,63,28,32,0,0,0,0,0,0,91,95
WTAS: Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/wtas-secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,66,67,25,29,0,0,0,0,0,0,91,96
ARPA-H Launches Program to Restore Brain Function and Return Patients to Independence | HHS.gov,/press-room/arpa-h-launches-program-to-restore-brain-function-patient-independence.html,66,66,24,29,0,0,0,0,0,0,90,95
HHS Expands MAHA to Head Start Adding $61.9 Million to Nutrition Services for Children and Families | HHS.gov,/press-room/hhs-maha-headstart-nutrition-funding-2025.html,65,79,23,28,0,0,0,0,0,0,88,107
FDA Awards First-Ever National Priority Vouchers to Nine Sponsors | HHS.gov,/press-room/fda-awards-first-ever-national-priority-vouchers-nine-sponsors.html,74,76,8,8,0,0,5,17,0,0,87,101
"HHS Office for Civil Rights Imposes a $1,500,000 Civil Money Penalty Against Warby Parker in HIPAA Cybersecurity Hacking Investigation | HHS.gov",/press-room/penalty-against-warby-parker.html,20,22,45,58,8,8,12,15,0,0,84,103
"WTAS: Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/wtas-secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,64,64,0,0,0,0,21,22,0,0,85,86
FDA Approves Three Food Colors from Natural Sources | HHS.gov,/press-room/fda-approves-three-new-natural-food-color-additives.html,65,67,13,13,0,0,0,0,0,0,82,87
Secretary Kennedy to World Health Assembly: The United States Is Holding the World Health Organization (WHO) Accountable | HHS.gov,/press-room/us-withdrawal-from-who.html,64,64,18,22,0,0,0,0,0,0,82,86
FDA Names Top HHS Lawyer as Chief Counsel | HHS.gov,/press-room/fda-appoints-sean-keveney-chief-counsel.html,61,61,20,22,0,0,0,0,0,0,81,83
NIH to Fund Long-Term Health Studies for East Palestine After Train Disaster | HHS.gov,/press-room/nih-long-term-health-research-east-palestine-ohio-train-disaster.html,69,76,12,13,0,0,0,0,0,0,81,89
Secretary Kennedy Swears in Susan Monarez as CDC Director to Advance ‘Make America Healthy Again’ Agenda | HHS.gov,/press-room/secretary-kennedy-swears-in-susan-monarez-cdc-director.html,65,66,15,18,0,0,0,0,0,0,80,84
Secretary Kennedy Visits Alaska to Highlight Tribal and Rural Health Priorities | HHS.gov,/press-room/secretary-kennedy-alaska-tribal-rural-health.html,69,69,11,12,0,0,0,0,0,0,79,81
"HHS, CBP Seize $86.5 Million Worth of Illegal E-Cigarettes in Largest-Ever Operation | HHS.gov",/press-room/hhs-fda-cbp-seize-record-4-7-million-illegal-e-cigarettes-chicago-operation.html,70,70,9,10,0,0,0,0,0,0,79,80
HHS’ Civil Rights Office Takes Action to Support President Trump’s Executive Orders to Protect Minors and Restore Biological Truth | HHS.gov,/press-room/eo-restoring-biological-truth.html,30,31,30,43,0,0,18,24,0,0,78,98
All 50 States Seek to Transform Rural Health with CMS | HHS.gov,/press-room/all-50-states-seek-transform-rural-health-cms.html,60,60,16,23,0,0,0,0,0,0,76,83
"HHS Celebrates 60 Years of the Head Start Program Transforming the Lives of Children Furthest from Opportunity, and Empowering Families Through Education, Health, and Training | HHS.gov",/press-room/head-start-60th-anniversay.html,62,62,13,13,0,0,0,0,0,0,75,75
Joint Task Force Letter to Harvard University Concerning Notice of Violation | HHS.gov,/press-room/joint-task-force-harvard-letter-notice-of-violation.html,66,71,8,8,0,0,0,0,0,0,74,79
SAMHSA Announces $19M in Supplemental Funding to Strengthen Housing Capacity for Homeless People with Serious Mental Illness | HHS.gov,/press-room/samhsa-announces-19m-supplemental-funding-strengthen-housing-capacity-homeless-people-serious-mental-illness.html,66,66,8,8,0,0,0,0,0,0,74,74
HHS Announces Paula M. Stannard as Director of the Office for Civil Rights | HHS.gov,/press-room/ocr-announces-director.html,0,0,73,86,0,0,0,0,0,0,73,86
HHS Applauds Dairy Industry’s Voluntary Commitment to Remove Artificial Food Dyes from Ice Cream by 2028 | HHS.gov,/press-room/hhs-applauds-dairy-industry-voluntary-commitment-food-dyes.html,65,68,7,12,0,0,0,0,0,0,72,80
HHS Office for Civil Rights Settles HIPAA Security Rule Investigation with a Florida Health Care Provider | HHS.gov,/press-room/hhs-ocr-hipaa-agreement-baycare.html,15,17,37,68,0,0,10,14,0,0,69,116
"RFK Jr.: I’m fighting chronic disease, slashing unhealthy fat at HHS | HHS.gov",/press-room/ny-post-kennedy-op-ed-slashing-unhealthy-fat-hhs.html,18,19,54,62,0,0,0,0,0,0,72,81
HHS Celebrates 100 Days of Big Wins to Make America Healthy Again | HHS.gov,/press-room/hhs-celebrates-100-days-big-wins-maha.html,63,64,6,8,0,0,0,0,0,0,69,72
Statement from the U.S. Department of Health and Human Services | HHS.gov,/press-room/hhs-secretary-kennedy-visits-cdc-after-atlanta-shooting.html,62,63,7,8,0,0,0,0,0,0,69,71
"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington | HHS.gov",/press-room/anti-semitism-task-force-statement-on-university-of-washington.html,63,63,5,9,0,0,0,0,0,0,68,72
"HHS Office for Civil Rights Imposes a $200,000 Penalty Against Oregon Health & Science University for Failure to Provide Timely Access to Patient Records | HHS.gov",/press-room/penalty-against-or-health-science-university.html,20,22,40,51,0,0,8,9,0,0,66,82
Joint Statement with Argentina Health Minister | HHS.gov,/press-room/us-argentina-withdraw-who.html,63,63,5,8,0,0,0,0,0,0,68,71
"Secretary Kennedy, Deputy Secretary O’Neill, Commissioner Makary, and U.S. Senator Mullin to Host Press Conference on Measures to Safeguard American Public from Dangerous Opioid 7-OH | HHS.gov",/press-room/hhs-opioid-7oh-press-conference-kennedy.html,62,62,6,7,0,0,0,0,0,0,68,69
HHS Office for Civil Rights Secures Agreement with Bayhealth Medical Center to Ensure Effective Communication for Individuals with Disabilities | HHS.gov,/press-room/hhs-ocr-bmc-ec-disability-agreement.html,50,50,16,25,0,0,0,0,0,0,65,75
"HHS Secretary Robert F. Kennedy, Jr. to Visit Argentina | HHS.gov",/press-room/hhs-secretary-kennedy-argentina-global-health.html,66,66,0,0,0,0,0,0,0,0,66,66
Secretary Kennedy Swears in Dr. Anthony Letai as Director of the National Cancer Institute | HHS.gov,/press-room/hhs-kennedy-swears-in-anthony-letai-director-national-cancer-institute.html,66,66,0,0,0,0,0,0,0,0,66,66
