# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
Secretary Kennedy Highlights Eat Real Food and Great American Recovery in Michigan | HHS.gov,/press-room/secretary-kennedy-highlights-eat-real-food-great-american-recovery-michigan.html,936,974,300,359,10,10,70,87,25,33,1339,1463
HHS’ Office for Civil Rights Extends Web and Mobile Accessibility Compliance Deadline | HHS.gov,/press-room/hhs-extends-mobile-and-web-accessibility-deadline.html,559,727,540,744,14,14,138,182,0,0,1294,1762
HHS Finds Systemic Disregard for Sanctity of Life in Organ Transplant System | HHS.gov,/press-room/hrsa-to-reform-organ-transplant-system.html,286,354,747,982,113,121,57,72,0,0,1215,1564
Secretary Kennedy Announces HHS Action to Reduce Harmful Screen Use and Protect Children Online | HHS.gov,/press-room/secretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,696,1191,349,493,32,34,83,100,0,0,1195,1872
FACT SHEET: FDA Initiates Removal of “Black Box” Warnings from Menopausal Hormone Replacement Therapy Products | HHS.gov,/press-room/fact-sheet-fda-initiates-removal-of-black-box-warnings-from-menopausal-hormone-replacement-therapy-products.html,222,306,623,775,9,9,177,211,0,0,1031,1321
Secretary Kennedy Appoints Casey B. Mulligan as HHS Chief Economist and Regulatory Officer | HHS.gov,/press-room/hhs-appoints-casey-b-mulligan-phd-as-chief-economist-and-chief-regulatory-officer.html,544,1011,400,496,0,0,55,64,0,0,1026,1608
Trump Administration Launches Moms.Gov for New and Expecting Mothers | HHS.gov,/press-room/trump-administration-launches-moms-gov-for-new-and-expecting-mothers.html,368,855,522,634,12,12,107,125,0,0,1015,1636
RFK Jr.: HHS Moves to Restore Public Trust in Vaccines | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-vaccines.html,109,125,293,331,0,0,6,9,0,0,1002,1112
Page Not Found | HHS.gov,/press-room/fact-sheet-cdc-childhood-immunization-recommendations.html,709,819,75,104,7,10,160,193,0,0,966,1150
HHS & DEA Extend Telemedicine Flexibilities for Prescribing Controlled Medications Through 2026 | HHS.gov,/press-room/dea-telemedicine-extension-2026.html,312,365,462,578,0,0,52,65,0,0,901,1114
