# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260701-20260731
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Unassigned,Unassigned,Referral,Referral,Organic Social,Organic Social,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,84130,750914,69511,105523,60802,68722,9112,14534,9359,10410,230396,958523,Grand total
Press Room | HHS.gov,/press-room/index.html,20260,644107,3289,20737,3415,11001,887,2364,87,155,27028,678614
CDC Surpasses 1 Million Voluntary Air Travel Participants in Biosurveillance Program | HHS.gov,/press-room/cdc-surpasses-1-million-voluntary-air-travel-participants-biosurveillance-program.html,180,170,8,7,14,14,0,0,0,0,200,191
HHS Leaders Commend the American Society of Plastic Surgeons for Disavowing Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/asps-gender-dysphoria-statement.html,182,166,18,21,7,7,0,0,0,0,205,194
HHS Winds Down mRNA Vaccine Development Under BARDA | HHS.gov,/press-room/hhs-winds-down-mrna-development-under-barda.html,162,166,192,246,66,64,26,31,13,17,435,541
SAMHSA Distributes Nearly $800 Million in Block Grants Nationwide for Community-Based Mental Health and Substance Abuse Programs | HHS.gov,/press-room/samhsa-distributes-nearly-dollar-million-block-grants-nationwide-community-based-mental-health-substance-abuse-programs.html,174,166,41,42,18,18,0,0,0,0,234,236
"Secretary Kennedy Celebrates Tennessee's MAHA Wins, Headlines CattleCon on ‘Take Back Your Health’ Tour | HHS.gov",/press-room/sec-kennedy-celebrates-tennessee-maha-wins.html,180,166,8,8,13,13,0,0,0,0,197,187
Medicaid Technology Companies Pledge $600M in Savings to Support Community Engagement and Related State Medicaid System Improvements | HHS.gov,/press-room/medicaid-technology-companies-pledge-600m-savings-support-community-engagement-related-state.html,175,165,9,8,13,15,0,0,0,0,192,188
"FDA Takes New Approach to ""No Artificial Colors"" Claims | HHS.gov",/press-room/fda-takes-new-approach-no-artificial-colors-claims.html,178,164,21,22,10,10,0,0,0,0,205,196
Secretary Kennedy Appoints Two Physicians to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-physicians-cdc-advisory-committee.html,175,164,28,26,13,13,0,0,0,0,211,203
Secretary Kennedy Champions Dietary Guidelines During Austin Stop on ‘Take Back Your Health’ Tour | HHS.gov,/press-room/secretary-kennedy-champions-dietary-guidelines-austin-take-back-your-health-tour.html,174,164,11,9,10,10,0,0,0,0,194,183
HHS and American Urological Association Announce Landmark Collaboration to Advance Women’s Health | HHS.gov,/press-room/aua-collaboration-to-advance-womens-health.html,172,162,21,23,10,9,0,0,0,0,200,194
"NIH Opens East Palestine, Ohio Health Research Office to Study Train Disaster | HHS.gov",/press-room/nih-opens-east-palestine-ohio-health-research-office-study-train-disaster.html,174,162,12,14,8,8,0,0,26,26,219,210
Joint Statement by Secretary of State Rubio and Secretary of Health and Human Services Kennedy on the Termination of U.S. Membership in the World Health Organization (WHO) | HHS.gov,/press-room/joint-statement-by-secretary-of-state-rubio-and-secretary-of-health-and-human-services-kennedy-on-the-termination-of-us-membership-in-the-world-health-organization-who.html,171,161,14,19,13,13,0,0,0,0,198,200
Secretary Kennedy Enhances Management Team to Accelerate President Trump’s Priorities and MAHA Agenda | HHS.gov,/press-room/secretary-kennedy-enhances-management-team-accelerate-president-trumps-priorities-maha-agenda.html,171,161,37,49,10,16,0,0,0,0,217,226
HHS Announces $4 Million KidneyX EMPOWER Prize Challenge and Health Technology Project to Advance Living Kidney Donation and Patient-Centered Innovation | HHS.gov,/press-room/hhs-announces-kidneyx-empower-prize-challenge.html,171,160,28,45,14,13,26,28,0,0,235,246
Indian Health Service to End Use of Mercury-Containing Dental Amalgam by 2027 | HHS.gov,/press-room/ihs-to-end-use-of-mercury-containing-dental-amalgam-by-2027.html,169,160,13,12,10,10,0,0,0,0,191,182
"HHS Advances Women’s Health, Removes Misleading FDA Warnings on Hormone Replacement Therapy | HHS.gov",/press-room/hhs-advances-womens-health-removes-misleading-fda-warnings-hormone-replacement-therapy.html,142,159,161,186,54,53,17,16,20,21,371,435
"FDA Launches Assessment of BHA, a Common Food Chemical Preservative | HHS.gov",/press-room/fda-launches-assessment-bha-common-food-chemical-preservative.html,167,158,12,12,11,11,0,0,0,0,187,181
Fact Sheet: U.S. Withdrawal from the World Health Organization | HHS.gov,/press-room/fact-sheet-us-withdrawal-from-the-world-health-organization.html,145,157,721,763,168,162,15,12,10,12,971,1126
HHS Releases Peer-Reviewed Report Discrediting Pediatric Sex-Rejecting Procedures | HHS.gov,/press-room/hhs-releases-peer-reviewed-report-discrediting-pediatric-sex-rejecting-procedures.html,152,157,291,354,61,61,27,40,30,31,522,643
NIH Proposes Embryonic Stem Cell Research Shift to Put Patients First | HHS.gov,/press-room/nih-proposes-embryonic-stem-cell-research-shift-put-patients-first.html,158,156,16,18,12,12,0,0,0,0,181,186
"WTAS: Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/wtas-take-back-your-health-tour.html,167,153,12,10,15,15,1,12,0,0,188,190
HHS Unveils AI Strategy to Transform Agency Operations | HHS.gov,/press-room/hhs-unveils-ai-strategy-to-transform-agency-operations.html,149,150,127,155,29,27,30,35,0,0,337,398
CDC’s Advisory Committee on Immunization Practices to Meet September 18-19 | HHS.gov,/press-room/cdc-acip-meeting-september-18-19-2025.html,149,148,6,7,20,20,0,0,0,0,174,175
HHS Adds Former U.S. Attorney for Fraud Efforts | HHS.gov,/press-room/hhs-adds-former-us-attorney-fraud-efforts.html,158,148,30,28,11,10,0,0,0,0,196,186
WTAS: HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/wtas-hhs-close-biden-era-loophole-let-states-pay-child-care-providers-without-counting-attendance.html,156,146,0,0,13,13,0,0,0,0,167,159
HHS Takes Bold Step to Restore Public Trust in Vaccines by Reconstituting ACIP | HHS.gov,/press-room/hhs-restore-public-trust-vaccines-acip.html,140,144,145,178,16,15,19,17,0,0,320,380
HHS Announces Crackdown on Health Data Blocking | HHS.gov,/press-room/hhs-crackdown-health-data-blocking.html,135,141,139,151,26,25,44,48,0,0,331,373
"Secretary Kennedy Launches ‘Take Back Your Health’ Tour in Pennsylvania, Rallying at Capitol and Meeting With Family Farmers | HHS.gov",/press-room/secretary-kennedy-take-back-your-health-tour-pa.html,152,141,28,25,15,15,0,0,0,0,189,181
"HHS Secretary Kennedy, CMS Administrator Oz Secure Industry Pledge to Fix Broken Prior Authorization System | HHS.gov",/press-room/kennedy-oz-cms-secure-healthcare-industry-pledge-to-fix-prior-authorization-system.html,134,140,69,85,15,14,23,23,0,0,241,269
SAMHSA Announces $231M Funding Opportunity to Administer 988 Lifeline | HHS.gov,/press-room/samhsa-announces-231m-funding-opportunity-administer-988-lifeline.html,150,140,28,31,13,13,0,0,0,0,186,184
HHS Makes Push to Stop Youth Vaping | HHS.gov,/press-room/hhs-youth-vaping-resource-guide-illegal-vapes.html,110,138,41,45,21,17,8,9,0,0,177,219
Secretary Kennedy Appoints Two OB-GYNs to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-ob-gyns-cdc-advisory-committee-immunization-practices.html,144,137,23,27,10,10,0,0,0,0,174,174
RFK Jr.: We’re Restoring Public Trust in the CDC | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-cdc.html,124,135,112,121,12,11,15,17,0,0,258,284
FDA Takes Steps to Improve Gluten Ingredient Disclosure in Foods | HHS.gov,/press-room/fda-takes-steps-improve-gluten-ingredient-disclosure-in-foods.html,145,133,17,18,8,8,0,0,0,0,164,159
HHS and USDA Confirm Singular Traveler-Associated New World Screwworm Case; Precautionary and Proactive Surveillance Ongoing | HHS.gov,/press-room/hhs-cdc-usda-traveler-associated-screwworm-case-surveillance.html,121,127,12,14,9,9,10,13,0,0,146,163
MAHA Commission Unveils Landmark Report Exposing Root Causes of Childhood Chronic Disease Crisis | HHS.gov,/press-room/maha-commission-childhood-chronic-disease-root-causes.html,121,118,114,138,29,28,30,36,0,0,284,334
HHS Protects Parents’ Rights in Children’s Health Decisions | HHS.gov,/press-room/hhs-protects-parents-rights-in-childrens-health-decisions.html,118,117,98,94,73,73,8,7,0,0,280,291
CMS Launches Landmark $50 Billion Rural Health Transformation Program | HHS.gov,/press-room/cms-rural-health-transformation-program-50-billion.html,105,116,192,210,27,27,0,0,0,0,313,364
HHS Expands Access to Affordable Health Insurance | HHS.gov,/press-room/hhs-expands-access-affordable-catastrophic-health-coverage.html,116,114,40,44,27,14,12,12,0,0,187,184
ACIP Recommends Individual-Based Decision-Making for Hepatitis B Vaccine for Infants Born to Women Who Test Negative for the Virus | HHS.gov,/press-room/acip-recommends-individual-based-decision-making-hepatitis-b-vaccine-birth-dose-infants-born-women-test-negative-virus.html,117,109,50,53,27,26,6,10,0,0,188,198
ACIP Recommends COVID-19 Immunization Based on Individual Decision-making | HHS.gov,/press-room/acip-recommends-covid19-vaccination-individual-decision-making.html,111,108,112,117,32,31,25,31,0,0,258,287
FDA Takes Steps to Restrict 7-OH Opioid Products Threatening American Consumers | HHS.gov,/press-room/fda-7-oh-scheduling-recommendation.html,99,106,209,231,26,25,27,30,11,12,355,404
"HHS’ Office for Civil Rights Settles HIPAA Investigation of MMG Fusion, LLC Breach Affecting 15 Million Individuals | HHS.gov",/press-room/ocr-mmg-fusion-hipaa-agreement.html,115,106,88,98,48,48,0,0,0,0,264,286
HHS Informs Covered Entities of Partial Vacatur of 2024 ACA Nondiscrimination Final Rule; Core Protections Remain in Effect post Tennessee v. Kennedy | HHS.gov,/press-room/informs-covered-entities-partial-vacatur-2024-aca-nondiscrimination-final-rule-tennessee-v-kennedy.html,105,105,69,77,23,21,12,14,0,0,203,224
HHS’ Cleanup of Federal Nursing Home Minimum Staffing Standards Rule Expands Access to Rural and Tribal Health Care | HHS.gov,/press-room/hhs-cleanup-federal-nursing-home-minimum-staffing-standards-rule-expands-access-rural-tribal-health-care.html,96,105,143,180,15,15,15,11,16,17,281,338
"HHS, FDA Issue RFI on Deregulatory Plan to Lower Costs and Empower Providers | HHS.gov",/press-room/fda-10-to-1-deregulatory-plan-to-lower-costs-empower-patients.html,113,103,16,19,36,36,0,0,0,0,154,158
ACIP Recommends Standalone Chickenpox Vaccination in Toddlers | HHS.gov,/press-room/acip-recommends-chickenpox-vaccine-for-toddlers.html,103,102,33,32,10,10,12,14,0,0,155,158
"HHS, FDA to Require Full Safety Disclosures in Drug Ads | HHS.gov",/press-room/hhs-fda-drug-ad-transparency.html,104,102,83,93,16,15,10,7,0,0,207,229
FDA Moves to Accelerate Biosimilar Development and Lower Drug Costs | HHS.gov,/press-room/fda-accelerates-biosimilar-development-and-lowers-drug-costs.html,98,100,31,39,8,8,8,11,0,0,139,158
HHS Doubles AI-Backed Childhood Cancer Research Funding | HHS.gov,/press-room/hhs-doubles-ai-backed-childhood-cancer-research-funding.html,104,100,74,87,24,24,7,7,14,14,215,232
HHS Reinforces Religious and Conscience Exemptions from Childhood Vaccine Mandates | HHS.gov,/press-room/hhs-reinforces-religious-conscience-vaccine-exemptions.html,70,100,263,266,201,225,15,16,0,0,507,622
HHS Backs AI Innovation for America’s Caregivers | HHS.gov,/press-room/hhs-backs-ai-innovation-for-americas-caregivers.html,105,99,30,32,25,25,13,10,0,0,156,166
Trump Administration Puts 46 States and Territories on Notice to Remove Gender Ideology Content from Sex Ed Materials | HHS.gov,/press-room/hhs-acf-states-remove-gender-ideology-sex-ed.html,94,98,163,169,42,42,47,51,12,14,333,374
HHS Announces Request for Information to Harness Artificial Intelligence to Deflate Health Care Costs and Make America Healthy Again | HHS.gov,/press-room/hhs-ai-rfi.html,92,97,67,83,0,0,14,18,0,0,201,239
HHS Adopts ACIP Recommendation to Remove Thimerosal from All U.S. Influenza Vaccines | HHS.gov,/press-room/thimerosal-mercury-removed-from-us-flu-vaccines-acip.html,95,96,138,151,43,42,0,0,17,15,268,311
"Living HHS Open Data Plan Published, HealthData.gov Refreshed to Provide Greater Transparency, Encourage Innovation, and Eliminate Information Silos | HHS.gov",/press-room/living-open-data-plan-healthdatagov-launch.html,99,96,32,29,21,21,0,0,0,0,143,153
Americans to Gain New Access to Real-Time Prescription Drug Price Information | HHS.gov,/press-room/hhs-prescription-drug-price-transparency-rule.html,81,94,34,34,19,19,14,14,0,0,141,161
HHS Takes Action on President Trump’s Executive Orders Defending Women and Children | HHS.gov,/press-room/eo-defending-women-and-children.html,105,94,62,110,48,48,0,0,0,0,214,264
RFK Jr.: HHS Moves to Restore Public Trust in Vaccines | HHS.gov,/press-room/wsj-kennedy-op-ed-restore-public-trust-in-vaccines.html,94,93,227,218,109,110,0,0,0,0,399,437
HHS Creates Fellowship and Career Fairs for Historically Black Colleges and Universities | HHS.gov,/press-room/hhs-creates-fellowship-career-fairs-hbcu.html,92,92,32,56,14,14,0,0,0,0,131,162
ACF Notifies 39 Governors That States Are Diverting Foster Youths’ Earned Social Security Survivor Benefits | HHS.gov,/press-room/states-are-diverting-earned-social-security.html,84,89,55,61,8,8,10,15,0,0,149,173
Fact Sheet: HHS’ Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge-fact-sheet.html,82,89,116,127,33,33,43,45,0,0,275,322
CMS Expands Access to Lifesaving Gene Therapies Through Innovative State Agreements | HHS.gov,/press-room/cms-announces-participation-in-cell-and-gene-therapy-access-model.html,84,88,30,46,0,0,8,25,0,0,121,159
"HHS Office for Civil Rights Imposes a $1,500,000 Civil Money Penalty Against Warby Parker in HIPAA Cybersecurity Hacking Investigation | HHS.gov",/press-room/penalty-against-warby-parker.html,80,87,35,38,27,27,0,0,0,0,129,152
HHS to Close University of Miami's Failing Organ Agency | HHS.gov,/press-room/hhs-decertifies-miami-organ-agency-reforms-transplant-system.html,86,85,95,111,28,27,14,17,0,0,206,240
"Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,81,85,55,61,28,28,31,31,0,0,188,205
"Joint Statement by Secretary of Health and Human Services Robert F. Kennedy, Jr. and Secretary of State Marco Rubio on International Health Regulations Amendments | HHS.gov",/press-room/secretary-kennedy-rubio-reject-ihr-amendments-joint-statement.html,84,84,8,7,16,16,0,0,0,0,108,107
Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,83,84,41,44,10,10,0,0,0,0,131,138
HHS’ Office for Civil Rights Investigates Thirteen States Under Federal Conscience Law | HHS.gov,/press-room/hhs-ocr-investigates-thirteen-state-abortion-coverage-mandates-under-federal-conscience-law.html,93,83,24,29,25,25,10,12,0,0,143,149
"HHS, NIH Launch Next-Generation Universal Vaccine Platform for Pandemic-Prone Viruses | HHS.gov",/press-room/hhs-nih-announces-generation-gold-standard.html,81,82,27,32,0,0,9,14,0,0,115,128
Administration for Community Living Awards $60 Million to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/administration-community-living-awards-60-million-dollars-advance-maha-agenda.html,77,81,14,11,0,0,1,9,0,0,91,101
HHS Provides More Than $1.5 Billion in State and Tribal Opioid Response Grants | HHS.gov,/press-room/hhs-state-tribal-opioid-response-grants-2025.html,77,81,32,37,0,0,0,0,0,0,108,118
SAMHSA Awards More Than $45 Million in Supplemental Funding to Support Young Adult Sober Housing Services | HHS.gov,/press-room/samhsa-awards-45-million-funding-support-sober-housing-services.html,74,81,9,13,0,0,15,12,0,0,98,106
HHS & State Department: The United States Rejects Amendments to International Health Regulations | HHS.gov,/press-room/state-department-hhs-rejects-amendments-to-international-health-regulations.html,81,80,25,28,19,19,0,0,13,12,133,139
"HHS, CBP Seize $86.5 Million Worth of Illegal E-Cigarettes in Largest-Ever Operation | HHS.gov",/press-room/hhs-fda-cbp-seize-record-4-7-million-illegal-e-cigarettes-chicago-operation.html,80,80,8,7,9,9,10,8,0,0,103,104
"Secretaries Kennedy, McMahon Demand Comprehensive Nutrition Education Reforms | HHS.gov",/press-room/hhs-education-nutrition-medical-training-reforms.html,76,80,27,31,0,0,0,0,0,0,103,111
ARPA-H Launches Program to Restore Brain Function and Return Patients to Independence | HHS.gov,/press-room/arpa-h-launches-program-to-restore-brain-function-patient-independence.html,77,79,28,33,0,0,1,18,0,0,106,130
HHS Expands MAHA to Head Start Adding $61.9 Million to Nutrition Services for Children and Families | HHS.gov,/press-room/hhs-maha-headstart-nutrition-funding-2025.html,65,79,16,17,0,0,0,0,0,0,81,96
"HHS Secretary Robert F. Kennedy, Jr. to Visit Argentina | HHS.gov",/press-room/hhs-secretary-kennedy-argentina-global-health.html,84,79,11,10,15,15,0,0,0,0,104,104
CMS Finds 2.8 Million Americans Potentially Enrolled in Two or More Medicaid/ACA Exchange Plans | HHS.gov,/press-room/cms-doge-identify-wasteful-duplicate-medicaid-enrollments.html,78,78,27,26,8,8,0,0,0,0,112,112
HHS Launches “MAHA in Action” Tracker as Public Health Wins Sweep the Nation | HHS.gov,/press-room/hhs-launches-maha-in-action-tracker.html,77,78,73,84,0,0,0,0,0,0,156,173
Secretary Kennedy Celebrates More States Removing Junk Food from SNAP at MAHA Monday on the National Mall | HHS.gov,/press-room/maha-monday-snap-waivers.html,80,77,30,32,0,0,0,0,0,0,110,109
WTAS: HHS Acts to Bar Hospitals from Performing Sex-Rejecting Procedures on Children | HHS.gov,/press-room/wtas-hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,77,77,29,31,0,0,0,0,0,0,106,108
HHS Announces Five New Agency Leaders to Advance MAHA Goals | HHS.gov,/press-room/hhs-five-new-agency-leaders-maha.html,75,76,51,56,0,0,7,10,0,0,132,142
HHS’ Office for Civil Rights Settles HIPAA Security Rule Investigation with Top of the World Ranch Treatment Center | HHS.gov,/press-room/ocr-settles-hipaa-security-rule-investigation-twrtc.html,76,76,34,32,10,10,0,0,0,0,131,136
CDC Adopts Individual-Based Decision-Making for Hepatitis B Immunization for Infants Born to Women Who Test Negative for the Hepatitis B Virus | HHS.gov,/press-room/cdc-adopts-individual-based-decision-making-for-hepatitis-b-immunization-for-infants-born-to-women-who-test-negative-for-the-hepatitis-b-virus.html,75,75,38,40,0,0,8,7,0,0,118,122
FDA Requires Major Changes to Opioid Pain Medication Labeling to Emphasize Risks | HHS.gov,/press-room/fda-updates-opioid-risk-labels.html,73,74,9,8,0,0,0,0,0,0,82,82
"HHS, FDA and USDA Address the Health Risks of Ultra-Processed Foods | HHS.gov",/press-room/hhs-fda-usda-ultra-processed-foods-definition-rfi.html,77,74,21,27,0,0,0,0,0,0,97,101
"NIH, CMS Partner to Advance Understanding of Autism Through Secure Access to Select Medicare and Medicaid Data | HHS.gov",/press-room/nih-cms-partner-to-research-root-causes-of-autism.html,71,74,10,10,0,0,0,0,0,0,87,91
Administration for Community Living Grant Award and Funding Opportunity | HHS.gov,/press-room/hhs-acl-grant-funding-older-americans-act.html,76,73,88,93,22,22,8,10,0,0,178,198
Autism Announcement Fact Sheet | HHS.gov,/press-room/autism-announcement-fact-sheet.html,68,73,165,177,32,30,14,18,0,0,267,298
CMS Announces New Drug Payment Model to Strengthen Medicaid and Better Serve Vulnerable Americans | HHS.gov,/press-room/cms-announces-new-drug-payment-model-to-better-serve-vulnerable-americans.html,71,73,25,22,12,12,0,0,0,0,100,107
Jim O’Neill Sworn in as Deputy Secretary of Health and Human Services | HHS.gov,/press-room/jim-oneill-sworn-in-as-deputy-secretary.html,70,72,56,52,8,8,0,0,0,0,128,132
HHS Announces $100M in Pilot Funding Opportunity to Eliminate Hepatitis C | HHS.gov,/press-room/hhs-100m-hepatitis-c-elimination-funding-opportunity.html,71,71,17,18,0,0,0,0,0,0,88,89
Page Not Found | HHS.gov,/press-room/hhs-acts-bar-hospitals-performing-sex-rejecting-procedures-children.html,64,71,9,11,0,0,58,71,0,0,133,160
HHS Defunds California’s Attempt to Indoctrinate Children with Gender Ideology | HHS.gov,/press-room/hhs-defunds-californias-attempt-indoctrinate-children-gender-ideology.html,69,70,33,35,0,0,0,0,0,0,102,105
"HHS, CDC Announce New ACIP Members | HHS.gov",/press-room/hhs-cdc-announce-new-acip-members-sept-2025.html,71,70,24,32,0,0,0,0,0,0,95,102
HHS’ Office for Civil Rights Secures Provider Compliance with Disability Rights Laws | HHS.gov,/press-room/ocr-secures-compliance-with-disability-rights-laws.html,72,70,21,23,12,12,5,7,0,0,109,112
Office for Civil Rights Announces Civil Enforcement Program for Confidentiality of Substance Use Disorder Patient Records | HHS.gov,/press-room/hhs-announce-civil-enforcement-program-sud-patient-records.html,76,70,45,46,21,21,8,9,0,0,190,199
WTAS: Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/wtas-secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,70,70,8,8,0,0,0,0,0,0,78,78
Dr. Harvey Risch Appointed Chairman of President Trump’s Cancer Panel | HHS.gov,/press-room/dr-harvey-risch-appointed-chairman-president-trumps-cancer-panel.html,68,69,27,27,14,14,0,0,0,0,105,110
RFK Jr.: An Apple a Day Is a Good Prescription | HHS.gov,/press-room/wsj-kennedy-op-ed-nutrition-education-requirements-in-medical-training.html,69,69,0,0,0,0,0,0,0,0,69,69
DOJ-HHS False Claims Act Working Group | HHS.gov,/press-room/hhs-doj-false-claims-act-working-group.html,70,68,28,32,0,0,0,0,0,0,98,100
"Secretary Kennedy, Deputy Secretary O’Neill, Commissioner Makary, and U.S. Senator Mullin to Host Press Conference on Measures to Safeguard American Public from Dangerous Opioid 7-OH | HHS.gov",/press-room/hhs-opioid-7oh-press-conference-kennedy.html,68,68,8,8,0,0,0,0,0,0,76,76
HHS Details Actions Taken to Support Americans of Faith in New Report | HHS.gov,/press-room/hhs-details-actions-taken-in-acb-report.html,79,67,30,27,16,16,0,0,0,0,118,110
HHS Dispatches More Than 70 Public Health Service Officers to Strengthen Care in Tribal Communities | HHS.gov,/press-room/hhs-dispatches-70-public-health-officers-tribal-communities.html,65,67,53,61,0,0,0,0,0,0,118,128
HHS Expands Oversight of Organ Transplant System with New Surveillance Tool | HHS.gov,/press-room/hrsa-organ-allocation-dashboard.html,64,67,16,19,0,0,0,0,0,0,80,86
Joint Task Force Letter to Harvard University Concerning Notice of Violation | HHS.gov,/press-room/joint-task-force-harvard-letter-notice-of-violation.html,65,67,9,9,0,0,0,0,0,0,74,76
FDA Approves Three Food Colors from Natural Sources | HHS.gov,/press-room/fda-approves-three-new-natural-food-color-additives.html,65,66,10,11,0,0,0,0,0,0,75,77
"HHS Allows FDA Emergency Use of Animal Drugs to Combat New World Screwworm, Protect U.S. Food Supply | HHS.gov",/press-room/hhs-fda-emergency-use-animal-drugs-new-world-screwworm.html,66,66,0,0,0,0,0,0,0,0,66,66
CMS Empowers Patients and Boosts Transparency by Modernizing Hospital Payments | HHS.gov,/press-room/cms-empowers-patients-and-boosts-transparency-by-modernizing-hospital-payments.html,65,65,36,39,0,0,0,0,0,0,101,104
Fact Sheet: HHS Takes Comprehensive Action to Enforce Conscience Rights and Protect Human Life | HHS.gov,/press-room/fact-sheet-announcements-on-conscience-and-life.html,77,65,23,29,41,41,4,7,0,0,126,142
Indian Health Service Joint Venture Construction Program Selects New Projects | HHS.gov,/press-room/ihs-joint-venture-construction.html,65,65,0,0,0,0,0,0,0,0,65,65
Joint Statement with Argentina Health Minister | HHS.gov,/press-room/us-argentina-withdraw-who.html,64,65,0,0,0,0,0,0,0,0,64,65
Renowned Epidemiologist and Biostatistician Martin Kulldorff Appointed to Senior HHS Role | HHS.gov,/press-room/renowned-epidemiologist-and-biostatistician-martin-kulldorff-appointed-to-senior-hhs-role.html,62,65,71,59,34,34,0,0,0,0,146,158
"Robert F. Kennedy, Jr. Sworn in as 26th Secretary at HHS, President Trump Signs Executive Order to Make America Healthy Again | HHS.gov",/press-room/eo-maha.html,62,65,162,175,45,45,0,0,0,0,265,301
Secretary Kennedy Swears in Susan Monarez as CDC Director to Advance ‘Make America Healthy Again’ Agenda | HHS.gov,/press-room/secretary-kennedy-swears-in-susan-monarez-cdc-director.html,65,65,42,42,8,8,0,0,0,0,111,115
Secretary Kennedy to World Health Assembly: The United States Is Holding the World Health Organization (WHO) Accountable | HHS.gov,/press-room/us-withdrawal-from-who.html,65,65,11,10,0,0,0,0,0,0,76,75
HHS Advances Fight Against Long COVID with Patient Roundtables and New National Efforts | HHS.gov,/press-room/hhs-secretary-kennedy-long-covid-roundtables-action.html,66,64,18,20,0,0,0,0,0,0,84,84
HHS Applauds Dairy Industry’s Voluntary Commitment to Remove Artificial Food Dyes from Ice Cream by 2028 | HHS.gov,/press-room/hhs-applauds-dairy-industry-voluntary-commitment-food-dyes.html,65,64,0,0,0,0,3,11,0,0,68,75
"HHS Office for Civil Rights Imposes a $200,000 Penalty Against Oregon Health & Science University for Failure to Provide Timely Access to Patient Records | HHS.gov",/press-room/penalty-against-or-health-science-university.html,63,64,38,55,21,21,0,0,0,0,112,140
"HHS Proposes HTI-5 Rule to Streamline Certification Program, Further Protect Patients from Information Blocking, and Foster an Artificial Intelligence-enabled Future | HHS.gov",/press-room/hhs-proposes-hti-5-rule.html,64,64,14,14,0,0,0,0,0,0,78,78
"HHS, CMS Eliminate Financial Pressure Tied to Hospital Staff Vaccination Reporting | HHS.gov",/press-room/hhs-cms-end-vaccine-reporting-incentives.html,65,64,44,44,9,9,0,0,0,0,110,117
NIH to Fund Long-Term Health Studies for East Palestine After Train Disaster | HHS.gov,/press-room/nih-long-term-health-research-east-palestine-ohio-train-disaster.html,63,64,5,7,0,0,0,0,0,0,68,71
FDA Awards First-Ever National Priority Vouchers to Nine Sponsors | HHS.gov,/press-room/fda-awards-first-ever-national-priority-vouchers-nine-sponsors.html,61,63,7,7,0,0,9,11,0,0,77,81
HHS Revives Task Force on Safer Childhood Vaccines | HHS.gov,/press-room/hhs-reinstates-task-force-on-safer-childhood-vaccines.html,63,63,24,28,0,0,7,7,0,0,94,98
SAMHSA Announces $19M in Supplemental Funding to Strengthen Housing Capacity for Homeless People with Serious Mental Illness | HHS.gov,/press-room/samhsa-announces-19m-supplemental-funding-strengthen-housing-capacity-homeless-people-serious-mental-illness.html,62,63,0,0,0,0,0,0,0,0,62,63
Secretary Kennedy Swears in Dr. Anthony Letai as Director of the National Cancer Institute | HHS.gov,/press-room/hhs-kennedy-swears-in-anthony-letai-director-national-cancer-institute.html,63,63,0,0,0,0,0,0,0,0,63,63
Secretary Kennedy Visits Alaska to Highlight Tribal and Rural Health Priorities | HHS.gov,/press-room/secretary-kennedy-alaska-tribal-rural-health.html,62,63,12,11,0,0,0,0,0,0,74,74
FDA Acts to Protect Children from Unapproved Fluoride Drug Products | HHS.gov,/press-room/fda-protect-children-unapproved-fluoride-drug-products.html,62,62,11,13,0,0,0,0,0,0,73,75
Secretary Kennedy Tours Colorado and Idaho to Advance Make America Healthy Again Agenda | HHS.gov,/press-room/secretary-kennedy-maha-tour-colorado-idaho.html,62,62,11,10,0,0,0,0,0,0,73,72
"WTAS: Secretary Kennedy Adds Duchenne Muscular Dystrophy, Metachromatic Leukodystrophy to Newborn Screenings | HHS.gov",/press-room/wtas-secretary-kennedy-adds-duchenne-muscular-dystrophy-metachromatic-leukodystrophy-to-newborn-screenings.html,62,62,0,0,0,0,0,0,0,0,62,62
